This file was created by CMPT_ME_PRIOR_RETS_DAILY using the 201803 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
MOM is the average of the returns on two (big and small) high prior return portfolios
minus the average of the returns on two low prior return portfolios.  The portfolios
are constructed daily.  Big means a firm is above the median market cap on the NYSE
at the end of the previous day; small firms are below the median NYSE market cap.
Prior return is measured from day - 250 to - 21.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,Mom   
19271109,  -0.32
19271110,   0.18
19271111,   0.80
19271112,  -0.28
19271114,   0.31
19271115,  -0.96
19271116,   0.24
19271117,   0.01
19271118,  -0.11
19271119,   0.10
19271121,  -0.72
19271122,   0.54
19271123,  -0.50
19271125,  -0.39
19271126,  -0.39
19271128,  -0.59
19271129,   0.12
19271130,   1.21
19271201,   0.01
19271202,   0.90
19271203,   0.30
19271205,  -0.03
19271206,   0.13
19271207,   0.39
19271208,  -0.22
19271209,   0.80
19271210,   0.09
19271212,   0.07
19271213,  -0.14
19271214,  -0.31
19271215,  -0.02
19271216,   0.46
19271217,  -1.02
19271219,   0.45
19271220,   0.33
19271221,  -0.04
19271222,  -0.16
19271223,   0.41
19271224,   0.30
19271227,   0.27
19271228,  -0.31
19271229,   0.59
19271230,  -1.30
19271231,  -0.30
19280103,  -0.41
19280104,  -0.33
19280105,  -0.60
19280106,   0.40
19280107,   0.01
19280109,  -0.79
19280110,  -0.10
19280111,  -0.18
19280112,  -0.19
19280113,  -0.20
19280114,  -0.29
19280116,  -0.33
19280117,   0.34
19280118,   0.32
19280119,   0.39
19280120,   0.01
19280121,  -0.03
19280123,   0.94
19280124,   0.52
19280125,  -0.19
19280126,   0.21
19280127,  -0.03
19280128,  -0.25
19280130,  -0.05
19280131,   0.69
19280201,   0.49
19280202,   0.37
19280203,  -0.45
19280204,   0.29
19280206,   0.19
19280207,   0.33
19280208,   0.65
19280209,  -0.40
19280210,  -0.12
19280211,   0.10
19280214,  -0.23
19280215,  -0.04
19280216,   0.13
19280217,  -0.19
19280218,  -0.41
19280220,  -0.37
19280221,   0.15
19280223,  -0.29
19280224,  -0.18
19280225,  -0.51
19280227,   0.48
19280228,  -0.30
19280229,  -0.06
19280301,   0.06
19280302,   0.10
19280303,   0.70
19280305,   0.79
19280306,   0.91
19280307,   0.38
19280308,  -0.40
19280309,   1.46
19280310,   0.01
19280312,  -0.09
19280313,   0.18
19280314,  -0.30
19280315,   0.13
19280316,  -0.02
19280317,  -0.22
19280319,  -0.27
19280320,   0.39
19280321,   0.94
19280322,   0.26
19280323,   1.44
19280324,   0.54
19280326,   0.71
19280327,  -0.77
19280328,  -1.09
19280329,  -0.11
19280330,   1.48
19280331,  -0.38
19280402,  -0.80
19280403,   0.61
19280404,   0.25
19280405,   0.02
19280409,  -0.24
19280410,  -0.20
19280411,  -0.20
19280412,   0.11
19280413,  -0.26
19280414,  -0.19
19280416,  -1.67
19280417,   0.02
19280418,  -0.24
19280419,   0.12
19280420,   0.16
19280423,  -0.54
19280424,   0.58
19280425,  -1.12
19280426,   0.02
19280427,   0.40
19280428,  -0.13
19280430,   0.28
19280501,   0.61
19280502,   0.77
19280503,   0.55
19280504,   1.10
19280507,   0.44
19280508,  -0.26
19280509,  -0.72
19280510,   0.11
19280511,   0.19
19280514,   0.36
19280515,   0.56
19280516,  -0.40
19280517,   0.78
19280518,  -0.76
19280521,  -0.36
19280522,  -1.16
19280523,   1.19
19280524,   0.23
19280525,   0.00
19280528,  -0.83
19280529,   0.94
19280531,   0.72
19280601,   0.16
19280602,   0.45
19280604,  -1.22
19280605,   0.55
19280606,  -0.34
19280607,   0.33
19280608,  -0.48
19280609,  -0.36
19280611,  -1.61
19280612,  -1.50
19280613,   1.11
19280614,   1.00
19280615,  -1.29
19280616,   0.47
19280618,  -0.28
19280619,  -0.08
19280620,   1.41
19280621,  -0.90
19280622,   0.09
19280623,  -0.38
19280625,   0.19
19280626,   0.98
19280627,   0.93
19280628,   1.15
19280629,   0.20
19280630,   0.07
19280702,  -0.88
19280703,   1.16
19280705,   0.22
19280706,  -0.56
19280707,  -0.14
19280709,   0.36
19280710,   0.54
19280711,  -1.14
19280712,  -0.58
19280713,   0.42
19280714,  -0.18
19280716,  -0.22
19280717,   0.72
19280718,   0.61
19280719,  -0.07
19280720,   0.00
19280721,  -0.05
19280723,   0.07
19280724,  -0.03
19280725,   0.28
19280726,   0.05
19280727,   0.51
19280728,   0.22
19280730,   0.21
19280731,   0.07
19280801,   0.08
19280802,  -0.26
19280803,   0.22
19280804,  -0.06
19280806,   0.62
19280807,   0.00
19280808,  -0.81
19280809,   0.56
19280810,  -0.01
19280811,  -0.39
19280813,   0.13
19280814,  -0.46
19280815,   0.79
19280816,   0.16
19280817,   0.23
19280818,  -0.02
19280820,  -0.05
19280821,   0.09
19280822,   0.41
19280823,   0.48
19280824,   1.11
19280825,   0.15
19280827,  -0.57
19280828,  -0.11
19280829,   0.30
19280830,   0.49
19280831,   0.47
19280901,  -0.05
19280904,   0.09
19280905,   0.53
19280906,  -0.19
19280907,   0.71
19280908,  -0.50
19280910,   0.07
19280911,   0.62
19280912,   0.41
19280913,   0.28
19280914,  -0.45
19280915,  -0.01
19280917,   0.66
19280918,   0.43
19280919,   0.11
19280920,   0.73
19280921,   1.22
19280922,   0.03
19280924,   0.67
19280925,   0.33
19280926,  -0.34
19280927,  -1.17
19280928,   0.30
19280929,   0.86
19281001,   0.01
19281002,   0.30
19281003,   0.31
19281004,   0.83
19281005,   0.13
19281006,  -0.14
19281008,  -0.09
19281009,   0.63
19281010,   0.13
19281011,   1.01
19281013,   0.45
19281015,  -0.02
19281016,  -0.03
19281017,   0.14
19281018,   0.33
19281019,   0.59
19281020,  -0.50
19281022,  -0.42
19281023,   0.70
19281024,   0.50
19281025,  -0.08
19281026,  -0.72
19281027,   0.79
19281029,  -0.15
19281030,  -0.39
19281031,  -0.50
19281101,   0.58
19281102,   0.02
19281103,  -0.07
19281105,   0.59
19281107,   0.85
19281108,  -0.33
19281109,  -0.20
19281110,   0.66
19281112,   0.24
19281113,   0.00
19281114,  -0.55
19281115,   0.15
19281116,  -0.08
19281117,   0.07
19281119,  -0.47
19281120,   0.29
19281121,  -0.52
19281122,   0.88
19281123,   0.49
19281126,  -0.26
19281127,  -0.25
19281128,   0.97
19281130,   0.66
19281201,   0.03
19281203,  -0.48
19281204,   0.69
19281205,  -0.21
19281206,  -1.83
19281207,  -1.93
19281208,  -1.44
19281210,   1.26
19281211,   1.36
19281212,  -0.56
19281213,  -0.81
19281214,  -0.03
19281215,  -0.30
19281217,  -0.70
19281218,   1.37
19281219,   0.85
19281220,   0.52
19281221,   0.97
19281222,   0.50
19281224,   0.58
19281226,  -0.42
19281227,   0.75
19281228,   0.48
19281229,   0.37
19281231,   0.63
19290102,   0.81
19290103,  -0.11
19290104,  -0.81
19290105,  -0.22
19290107,   0.13
19290108,   0.30
19290109,   0.69
19290110,  -0.06
19290111,  -0.15
19290112,  -0.04
19290114,  -0.19
19290115,  -0.37
19290116,   0.93
19290117,   0.86
19290118,   0.38
19290119,   0.42
19290121,   0.03
19290122,   0.81
19290123,  -0.17
19290124,  -0.03
19290125,   0.53
19290126,   0.30
19290128,   0.21
19290129,  -0.10
19290130,  -0.24
19290131,  -0.46
19290201,   0.62
19290202,   0.04
19290204,   0.09
19290205,   0.60
19290206,  -0.33
19290207,  -1.14
19290208,  -0.68
19290211,   2.32
19290213,   0.33
19290214,  -0.25
19290215,  -1.17
19290216,  -0.66
19290218,   1.50
19290219,   0.41
19290220,   0.45
19290221,  -0.06
19290225,   0.06
19290226,   0.26
19290227,   0.60
19290228,   0.77
19290301,   0.58
19290302,  -0.32
19290304,  -0.28
19290305,  -0.44
19290306,  -0.24
19290307,   0.51
19290308,   0.17
19290309,  -0.40
19290311,  -0.75
19290312,   0.27
19290313,   0.45
19290314,   0.72
19290315,  -0.35
19290316,   0.17
19290318,  -0.45
19290319,   0.13
19290320,  -0.98
19290321,   0.05
19290322,  -0.50
19290323,  -0.29
19290325,  -1.03
19290326,   0.59
19290327,   0.65
19290328,   0.21
19290401,  -0.37
19290402,  -0.81
19290403,  -0.31
19290404,   1.17
19290405,   0.16
19290406,  -0.30
19290408,  -0.55
19290409,  -0.52
19290410,   0.43
19290411,   1.03
19290412,  -0.22
19290413,  -0.58
19290415,  -0.83
19290416,   0.14
19290417,   1.01
19290418,   0.22
19290419,  -0.28
19290420,   0.23
19290422,   1.19
19290423,  -0.02
19290424,  -0.63
19290425,   0.42
19290426,  -0.11
19290427,   0.56
19290429,   0.53
19290430,   1.40
19290501,   0.61
19290502,   0.86
19290503,   0.25
19290504,  -0.44
19290506,  -0.09
19290507,  -1.00
19290508,  -0.18
19290509,   0.03
19290510,   0.72
19290511,   0.40
19290513,  -1.18
19290514,   1.09
19290515,  -0.26
19290516,  -0.12
19290517,   0.52
19290518,  -0.16
19290520,  -1.65
19290521,   0.75
19290522,  -0.97
19290523,   1.19
19290524,  -0.59
19290525,   0.48
19290527,  -1.14
19290528,   1.36
19290529,  -0.62
19290531,   0.29
19290601,   0.71
19290603,   0.11
19290604,   1.15
19290605,   0.00
19290606,  -0.07
19290607,  -0.09
19290608,  -0.17
19290610,  -0.06
19290611,   0.93
19290612,   0.62
19290613,   0.32
19290614,   0.42
19290615,   0.47
19290617,  -0.44
19290618,  -0.01
19290619,  -0.20
19290620,   0.69
19290621,   0.15
19290622,  -0.03
19290624,   0.24
19290625,   0.52
19290626,   0.82
19290627,   0.77
19290628,   1.17
19290629,   0.43
19290701,  -0.12
19290702,   0.85
19290703,   0.17
19290705,  -1.47
19290706,  -0.07
19290708,  -0.69
19290709,  -0.12
19290710,   0.20
19290711,   0.85
19290712,   0.77
