This file was created by CMPT_ME_PRIOR_RETS_DAILY using the 201803 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
MOM is the average of the returns on two (big and small) high prior return portfolios
minus the average of the returns on two low prior return portfolios.  The portfolios
are constructed daily.  Big means a firm is above the median market cap on the NYSE
at the end of the previous day; small firms are below the median NYSE market cap.
Prior return is measured from day - 250 to - 21.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,Mom   
19460513,   0.00
19460514,  -0.49
19460515,   0.05
19460516,  -0.06
19460517,  -0.20
19460518,  -0.01
19460520,   0.16
19460521,  -0.12
19460522,   0.09
19460523,  -0.08
19460524,  -0.28
19460527,  -0.14
19460528,  -0.72
19460529,  -0.80
19460531,  -0.35
19460603,   0.07
19460604,  -0.19
19460605,  -0.48
19460606,  -0.10
19460607,   0.10
19460610,  -0.01
19460611,  -0.31
19460612,  -0.55
19460613,  -0.32
19460614,   0.11
19460617,  -0.32
19460618,  -0.86
19460619,  -0.35
19460620,  -0.75
19460621,   0.39
19460624,   0.32
19460625,  -0.11
19460626,  -0.41
19460627,   1.04
19460628,   0.31
19460701,   0.59
19460702,  -0.25
19460703,  -0.17
19460705,  -0.08
19460708,  -0.06
19460709,   0.25
19460710,   0.72
19460711,  -0.18
19460712,  -0.44
19460715,  -0.80
19460716,  -0.39
19460717,   0.14
19460718,   0.36
19460719,   0.04
19460722,  -0.56
19460723,  -1.45
19460724,   0.28
19460725,   0.50
19460726,   0.43
19460729,   0.60
19460730,   0.30
19460731,   0.18
19460801,   0.39
19460802,  -0.07
19460805,  -0.08
19460806,  -0.30
19460807,   0.44
19460808,   0.31
19460809,   0.17
19460812,   0.11
19460813,  -0.07
19460814,   0.01
19460815,  -0.10
19460816,   0.00
19460819,  -0.25
19460820,   0.33
19460821,   0.08
19460822,  -0.35
19460823,   0.10
19460826,  -0.38
19460827,  -0.80
19460828,   0.38
19460829,   0.42
19460830,   0.12
19460903,  -0.73
19460904,   0.27
19460905,   0.28
19460906,  -0.12
19460909,  -1.14
19460910,   0.17
19460911,   0.60
19460912,   0.53
19460913,   0.47
19460916,   0.47
19460917,   0.16
19460918,  -0.90
19460919,  -0.12
19460920,   0.65
19460923,   0.61
19460924,   0.34
19460925,   0.54
19460926,  -0.32
19460927,   0.83
19460930,   0.15
19461001,   0.38
19461002,   0.20
19461003,   0.35
19461004,   0.48
19461005,   0.18
19461007,   0.22
19461008,   0.63
19461009,   0.22
19461010,  -0.62
19461011,  -0.31
19461014,   0.16
19461015,  -1.86
19461016,   0.29
19461017,   0.81
19461018,   0.24
19461019,   0.37
19461021,   0.19
19461022,   0.90
19461023,   0.17
19461024,  -0.68
19461025,   0.30
19461026,   0.04
19461028,   0.37
19461029,   0.04
19461030,  -0.73
19461031,  -2.51
19461101,  -1.38
19461102,  -0.67
19461104,  -0.38
19461106,   3.20
19461107,  -0.58
19461108,   0.00
19461109,  -1.30
19461112,   0.85
19461113,   0.36
19461114,  -0.37
19461115,   0.64
19461116,   0.06
19461118,   0.68
19461119,  -0.06
19461120,   0.95
19461121,   1.16
19461122,  -0.17
19461123,  -1.50
19461125,   1.41
19461126,  -0.69
19461127,  -0.51
19461129,  -0.49
19461130,   0.43
19461202,   1.16
19461203,  -0.42
19461204,  -1.06
19461205,   1.01
19461206,   0.00
19461207,  -0.98
19461209,  -2.87
19461210,   0.34
19461211,   0.44
19461212,   1.10
19461213,   0.44
19461214,  -0.48
19461216,   0.72
19461217,   0.44
19461218,  -0.42
19461219,  -1.24
19461220,  -1.06
19461221,  -0.14
19461223,   1.16
19461224,   0.33
19461226,   1.04
19461227,   0.84
19461228,  -0.32
19461230,   1.14
19461231,  -0.04
19470102,   0.23
19470103,  -1.80
19470104,  -0.29
19470106,  -0.96
19470107,   1.08
19470108,  -0.70
19470109,  -0.07
19470110,   1.03
19470111,   0.25
19470113,   0.63
19470114,  -0.52
19470115,   0.31
19470116,  -0.44
19470117,  -1.69
19470118,  -0.20
19470120,   0.73
19470121,   0.21
19470122,  -0.39
19470123,  -1.12
19470124,  -0.06
19470125,   0.14
19470127,  -1.27
19470128,  -0.51
19470129,  -1.09
19470130,   0.13
19470131,  -0.40
19470201,  -0.90
19470203,  -0.23
19470204,  -0.30
19470205,  -0.06
19470206,  -0.03
19470207,  -1.92
19470208,  -0.42
19470210,   1.21
19470211,  -1.07
19470213,   1.36
19470214,   0.02
19470215,  -0.27
19470217,  -0.09
19470218,   0.42
19470219,   0.30
19470220,  -0.30
19470221,  -0.38
19470224,   1.01
19470225,   1.22
19470226,   0.59
19470227,  -1.02
19470228,   0.30
19470301,   0.37
19470303,   0.60
19470304,  -0.28
19470305,  -1.09
19470306,   0.42
19470307,   1.49
19470308,   0.15
19470310,   0.31
19470311,   0.45
19470312,  -0.83
19470313,   0.57
19470314,   0.44
19470315,  -0.08
19470317,  -0.15
19470318,  -0.23
19470319,  -0.04
19470320,   0.39
19470321,  -0.36
19470322,  -0.08
19470324,   0.49
19470325,   0.64
19470326,  -0.60
19470327,  -0.78
19470328,   0.24
19470329,   0.17
19470331,   0.77
19470401,  -0.14
19470402,  -0.01
19470403,   0.26
19470405,   0.32
19470407,   0.79
19470408,   0.77
19470409,   0.17
19470410,  -0.39
19470411,   0.52
19470412,   0.72
19470414,   2.31
19470415,  -0.35
19470416,  -1.00
19470417,   0.23
19470418,   1.55
19470419,  -1.05
19470421,  -0.59
19470422,  -0.34
19470423,   0.45
19470424,   0.87
19470425,   0.62
19470426,   0.03
19470428,   0.38
19470429,   0.20
19470430,  -0.50
19470501,  -0.38
19470502,   0.00
19470503,   0.13
19470505,   0.57
19470506,   1.15
19470507,   0.33
19470508,   0.58
19470509,   0.26
19470510,  -0.01
19470512,   1.10
19470513,   1.58
19470514,   0.79
19470515,  -0.57
19470516,   2.08
19470517,   1.16
19470519,  -0.67
19470520,  -1.07
19470521,  -1.07
19470522,  -0.83
19470523,  -0.34
19470524,  -0.12
19470526,   0.96
19470527,   0.67
19470528,  -1.33
19470529,  -0.59
19470602,   1.19
19470603,  -0.57
19470604,   0.93
19470605,   0.68
19470606,  -0.41
19470609,   0.71
19470610,  -0.48
19470611,  -2.85
19470612,   0.28
19470613,  -1.00
19470616,   0.43
19470617,   0.21
19470618,  -0.24
19470619,  -0.45
19470620,  -1.31
19470623,  -0.78
19470624,   1.89
19470625,  -0.47
19470626,   0.14
19470627,   0.41
19470630,   0.51
19470701,  -1.40
19470702,  -0.69
19470703,  -1.66
19470707,  -0.71
19470708,  -0.95
19470709,   0.35
19470710,  -0.69
19470711,  -1.21
19470714,  -1.24
19470715,   0.14
19470716,   0.30
19470717,   0.87
19470718,   0.67
19470721,   0.36
19470722,   0.43
19470723,   0.08
19470724,   0.07
19470725,   0.04
19470728,   0.79
19470729,   0.90
19470730,   0.96
19470731,  -0.54
19470801,   0.52
19470804,   0.51
19470805,   0.17
19470806,   0.18
19470807,   0.38
19470808,  -0.13
19470811,   0.04
19470812,  -0.24
19470813,   0.04
19470814,   0.11
19470815,   0.01
19470818,   0.27
19470819,   0.25
19470820,   0.06
19470821,   0.01
19470822,   0.11
19470825,  -0.27
19470826,  -0.10
19470827,  -0.09
19470828,  -0.36
19470829,   0.00
19470902,   0.08
19470903,  -0.01
19470904,  -0.02
19470905,  -0.18
19470908,   0.20
19470909,  -0.08
19470910,  -0.43
19470911,   0.10
19470912,   0.49
19470915,   0.08
19470916,   0.11
19470917,  -0.14
19470918,   0.04
19470919,  -0.01
19470922,   0.18
19470923,  -0.01
19470924,  -0.12
19470925,   0.45
19470926,   0.16
19470929,  -0.03
19470930,  -0.24
19471001,  -0.14
19471002,   0.26
19471003,  -0.30
19471004,  -0.40
19471006,   0.26
19471007,   0.10
19471008,   0.11
19471009,   0.06
19471010,  -0.19
19471011,  -0.35
19471014,  -0.14
19471015,  -0.72
19471016,   0.01
19471017,   0.45
19471018,   0.33
19471020,  -0.27
19471021,   0.08
19471022,   0.26
19471023,  -0.11
19471024,   0.36
19471025,   0.09
19471027,   0.16
19471028,   0.66
19471029,   0.17
19471030,   0.04
19471031,   0.46
19471101,   0.18
19471103,   0.07
19471105,   0.42
19471106,   0.39
19471107,   0.35
19471108,  -0.04
19471110,   0.09
19471112,   0.51
19471113,   0.10
19471114,   0.21
19471115,   0.02
19471117,   0.32
19471118,   0.27
19471119,   0.23
19471120,   0.47
19471121,  -0.09
19471122,  -0.26
19471124,   0.34
19471125,   0.38
19471126,   0.16
19471128,   0.22
19471129,  -0.42
19471201,   0.41
19471202,   0.20
19471203,   0.01
19471204,   0.40
19471205,  -0.27
19471206,  -0.19
19471208,   0.61
19471209,   0.37
19471210,  -0.01
19471211,   0.24
19471212,   0.10
19471213,  -0.68
19471215,  -0.12
19471216,   0.16
19471217,  -0.16
19471218,   0.00
19471219,  -0.23
19471220,  -0.23
19471222,   0.59
19471223,   0.66
19471224,   0.10
19471226,   0.76
19471227,  -0.15
19471229,   0.97
19471230,  -0.47
19471231,  -0.02
19480102,  -2.28
19480105,  -0.75
19480106,  -0.40
19480107,  -0.37
19480108,  -0.65
19480109,   0.37
19480110,   0.10
19480112,  -0.03
19480113,   0.04
19480114,  -0.42
19480115,  -0.20
19480116,  -0.51
19480117,  -0.17
19480119,  -0.15
19480120,  -0.06
19480121,  -0.22
19480122,  -0.43
19480123,   0.03
19480124,  -0.30
19480126,  -0.07
19480127,  -0.02
19480128,   0.06
19480129,   0.71
19480130,   0.51
19480131,  -0.07
19480202,   0.10
19480203,   0.00
19480204,   0.06
19480205,  -0.31
19480206,   0.02
19480207,  -0.15
19480209,  -0.01
19480210,  -0.70
19480211,  -0.10
19480213,  -0.05
19480214,  -0.09
19480216,   0.52
19480217,   0.34
19480218,   0.20
19480219,   0.41
19480220,   0.20
19480221,   0.01
19480224,   0.25
19480225,   0.25
19480226,   0.27
19480227,   0.01
19480228,   0.02
19480301,  -0.03
19480302,   0.79
19480303,   0.04
19480304,  -0.05
19480305,  -0.40
19480306,  -0.23
19480308,   0.24
19480309,  -0.16
19480310,   0.11
19480311,  -0.19
19480312,   0.10
19480313,   0.02
19480315,   0.33
19480316,  -0.39
19480317,   0.23
19480318,   0.10
19480319,  -0.05
19480320,  -0.22
19480322,  -1.08
19480323,   0.10
19480324,   0.49
19480325,   0.15
19480327,  -0.01
19480329,   0.33
19480330,  -0.03
19480331,  -0.19
19480401,  -0.03
19480402,  -0.02
19480403,   0.33
19480405,   0.04
19480406,   0.35
19480407,   0.08
19480408,   0.55
19480409,   0.23
19480410,   0.14
19480412,  -0.27
19480413,  -0.01
19480414,   0.22
19480415,   1.00
19480416,   0.12
19480417,  -0.16
19480419,   0.70
19480420,  -0.35
19480421,   0.87
19480422,   0.30
19480423,  -0.02
19480424,  -0.15
19480426,  -0.88
19480427,   0.44
19480428,   0.26
19480429,   0.21
19480430,  -0.03
19480501,  -0.18
19480503,   0.83
19480504,   0.65
19480505,  -0.63
19480506,   0.45
19480507,   0.27
19480508,  -0.19
19480510,   0.37
19480511,  -0.12
19480512,  -0.08
19480513,  -0.49
19480514,  -0.18
19480515,  -1.02
19480517,  -0.26
19480518,  -0.57
19480519,   0.26
19480520,   0.82
19480521,  -0.43
19480522,   0.22
19480524,  -0.22
19480525,  -0.10
19480526,  -0.05
19480527,   0.25
19480528,   0.57
19480601,   0.11
19480602,   0.40
19480603,   0.09
19480604,  -0.18
19480607,   0.00
19480608,   1.25
19480609,   0.09
19480610,   0.63
19480611,   0.43
19480614,   0.45
19480615,   0.83
19480616,   0.33
19480617,   0.50
19480618,  -0.08
19480621,  -0.70
19480622,   0.64
19480623,   0.49
19480624,  -0.06
19480625,  -0.54
19480628,  -0.59
19480629,   0.44
19480630,   0.37
19480701,   0.03
19480702,   0.54
19480706,   0.28
19480707,  -0.16
19480708,   0.11
19480709,   0.51
19480712,  -0.08
19480713,   0.07
19480714,   0.31
19480715,  -1.41
19480716,  -0.78
19480719,  -2.32
19480720,   1.34
19480721,   0.38
19480722,   0.44
19480723,   0.33
19480726,  -0.50
19480727,   0.85
19480728,   0.06
19480729,  -0.46
19480730,  -0.70
19480802,  -0.32
19480803,   0.36
19480804,   1.29
19480805,  -0.16
19480806,  -0.05
19480809,  -0.48
19480810,  -0.30
19480811,  -0.71
19480812,   0.22
19480813,  -0.18
19480816,   0.08
19480817,   0.34
19480818,  -0.31
19480819,   0.09
19480820,   0.52
19480823,  -0.61
19480824,   0.27
19480825,  -0.10
19480826,  -0.18
19480827,   0.18
19480830,   0.23
19480831,  -0.04
19480901,   0.44
19480902,  -0.10
19480903,   0.30
19480907,  -0.36
19480908,  -0.51
19480909,  -0.42
19480910,   0.17
19480913,  -0.35
19480914,   0.23
19480915,   0.03
19480916,   0.18
19480917,  -0.19
19480920,  -0.55
19480921,   0.46
19480922,   0.56
19480923,  -0.03
19480924,   0.36
19480927,  -1.38
19480928,   0.99
19480929,   0.50
19480930,  -0.06
19481001,   0.73
19481002,  -0.03
19481004,   0.14
19481005,  -0.02
19481006,   0.38
19481007,   0.09
19481008,  -0.10
19481009,   0.12
19481011,  -0.11
19481013,   0.52
19481014,  -0.06
19481015,   0.23
19481016,   0.18
19481018,   0.13
19481019,   0.23
19481020,   0.19
19481021,   0.36
19481022,  -0.15
19481023,  -0.36
19481025,  -0.22
19481026,  -0.22
19481027,  -0.02
19481028,  -0.45
19481029,   0.62
19481030,   0.17
19481101,   0.01
19481103,  -1.60
19481104,   0.36
19481105,  -1.39
19481106,   0.46
19481108,   0.42
19481109,  -1.52
19481110,   0.54
19481112,   0.51
19481113,   0.16
19481115,   0.16
19481116,   0.37
19481117,   0.22
19481118,   0.56
19481119,   0.13
19481120,   0.24
19481122,   0.00
19481123,   0.22
19481124,  -0.25
19481126,  -0.16
19481127,   0.11
19481129,   0.20
19481130,   0.10
19481201,   0.62
19481202,   0.08
19481203,   0.34
19481204,   0.25
19481206,   0.11
19481207,   0.28
19481208,   0.27
19481209,   0.11
19481210,   0.05
19481211,   0.08
19481213,   0.45
19481214,  -0.13
19481215,   0.14
19481216,   0.06
19481217,   0.11
19481218,  -0.11
19481220,   0.18
19481221,   0.17
19481222,   0.30
19481223,  -0.24
19481224,  -0.21
19481227,   0.57
19481228,   0.25
19481229,   0.03
19481230,   0.10
19481231,  -0.09
19490103,  -1.96
19490104,  -0.52
19490105,  -0.18
19490106,  -0.35
19490107,  -0.78
19490108,  -0.47
19490110,  -0.34
19490111,  -0.09
19490112,  -0.05
19490113,   0.16
19490114,   0.10
19490115,   0.11
19490117,   0.50
19490118,  -0.53
19490119,  -0.10
19490120,   0.25
19490121,  -0.44
19490122,  -0.08
19490124,   0.06
19490125,  -0.13
19490126,   0.01
19490127,  -0.06
19490128,   0.19
19490129,   0.23
19490131,   0.09
19490201,   0.03
19490202,   0.13
19490203,   0.41
19490204,  -0.60
19490205,  -0.27
19490207,   0.01
19490208,  -0.21
19490209,   0.02
19490210,   0.00
19490211,   0.32
19490214,   0.01
19490215,  -0.11
19490216,  -0.14
19490217,   0.18
19490218,  -0.23
19490219,  -0.04
19490221,   0.08
19490223,   0.24
19490224,  -0.02
19490225,  -0.08
19490226,  -0.41
19490228,  -0.22
19490301,  -0.05
19490302,   0.09
19490303,   0.09
19490304,  -0.28
19490305,  -0.66
19490307,  -0.34
19490308,  -0.16
19490309,   0.18
19490310,   0.16
19490311,  -0.47
19490312,  -0.58
19490314,   0.23
19490315,   0.45
19490316,   0.28
19490317,  -0.05
19490318,   0.61
19490319,  -0.44
19490321,   0.10
19490322,   1.00
19490323,  -0.71
19490324,  -0.48
19490325,   0.43
19490326,  -0.13
19490328,  -0.04
19490329,  -1.83
19490330,  -0.66
19490331,   0.39
19490401,   0.60
19490402,  -0.44
19490404,  -0.22
19490405,   0.10
19490406,   0.40
19490407,   0.49
19490408,  -0.39
19490409,   0.01
19490411,   0.05
19490412,   0.18
19490413,   0.56
19490414,   0.31
19490416,  -0.25
19490418,   0.43
19490419,   0.22
19490420,   0.24
19490421,   0.96
19490422,  -0.09
19490423,  -0.35
19490425,   0.28
19490426,  -0.03
19490427,   0.28
19490428,   0.61
19490429,   0.26
19490430,  -0.25
19490502,   0.41
19490503,   0.18
19490504,  -0.90
19490505,  -0.05
19490506,   0.56
19490507,   0.15
19490509,   0.34
19490510,   0.25
19490511,  -0.08
19490512,   0.22
19490513,  -0.46
19490514,  -0.79
19490516,   0.21
19490517,   0.45
19490518,  -0.07
19490519,   0.57
19490520,   0.15
19490521,  -0.11
19490523,   0.83
19490524,   0.57
19490525,  -0.56
19490526,   0.15
19490527,   0.19
19490531,   1.15
19490601,  -0.26
19490602,  -0.12
19490603,   0.26
19490606,   0.71
19490607,  -0.66
19490608,  -0.38
19490609,  -0.15
19490610,   0.60
19490613,   1.63
19490614,  -0.58
19490615,  -1.10
19490616,  -0.04
19490617,   0.03
19490620,  -0.90
19490621,  -0.05
19490622,   0.59
19490623,  -0.58
19490624,   0.14
19490627,   0.26
19490628,   0.71
19490629,  -0.09
19490630,  -0.20
19490701,  -1.00
19490705,  -0.05
19490706,  -0.56
19490707,   0.28
19490708,   0.07
19490711,   0.42
19490712,  -0.36
19490713,  -0.94
19490714,  -0.39
19490715,   0.26
19490718,   0.09
19490719,  -0.63
19490720,  -0.26
19490721,   0.29
19490722,   0.12
19490725,  -0.48
19490726,  -0.09
19490727,  -0.03
19490728,   0.57
19490729,   0.36
19490801,   0.38
19490802,  -0.16
19490803,   0.09
19490804,   0.15
19490805,  -0.42
19490808,  -1.05
19490809,  -0.47
19490810,  -0.74
19490811,   0.24
19490812,   0.36
19490815,   0.49
19490816,   0.29
19490817,  -0.44
19490818,   0.03
19490819,   0.37
19490822,   0.29
19490823,   0.27
19490824,   0.21
19490825,   0.10
19490826,   0.14
19490829,   0.60
19490830,   0.13
19490831,   0.07
19490901,  -0.53
19490902,   0.05
19490906,   0.59
19490907,  -0.23
19490908,   0.10
19490909,   0.37
19490912,  -0.81
19490913,  -1.74
19490914,  -0.22
19490915,   0.63
19490916,  -0.37
19490919,   0.35
19490920,   0.96
19490921,  -0.51
19490922,  -0.90
19490923,   0.23
19490926,   0.06
19490927,   0.55
19490928,  -0.61
19490929,   0.27
19490930,   0.08
19491001,   0.18
19491003,  -0.01
19491004,  -0.33
19491005,  -0.07
19491006,  -0.49
19491007,   0.03
19491008,  -0.45
19491010,   0.02
19491011,  -0.71
19491013,   0.09
19491014,   0.36
19491015,   0.00
19491017,   0.57
19491018,  -0.52
19491019,  -0.12
19491020,   0.57
19491021,   0.03
19491022,   0.05
19491024,   0.18
19491025,  -0.26
19491026,  -0.30
19491027,  -0.17
19491028,   0.84
19491029,   0.14
19491031,   0.04
19491101,   0.00
19491102,  -0.14
19491103,  -0.08
19491104,   0.09
19491105,  -0.01
19491107,   0.04
19491109,   0.77
19491110,   0.33
19491112,   0.12
19491114,   0.26
19491115,   0.02
19491116,  -0.11
19491117,  -0.01
19491118,  -0.27
19491119,  -0.33
19491121,   0.38
19491122,  -0.10
19491123,  -0.08
19491125,   0.24
19491126,   0.01
19491128,   0.27
19491129,   0.04
19491130,   0.14
19491201,  -0.46
19491202,  -0.54
19491203,  -0.70
19491205,   0.26
19491206,   0.20
19491207,   0.03
19491208,  -0.12
19491209,   0.46
19491210,   0.12
19491212,   0.02
19491213,  -0.59
19491214,  -0.71
19491215,  -0.07
19491216,  -0.18
19491217,   0.03
19491219,   0.11
19491220,   0.49
19491221,   0.45
19491222,  -0.05
19491223,  -0.01
19491227,   0.68
19491228,  -0.48
19491229,  -0.25
19491230,  -0.12
19491231,  -0.21
19500103,  -0.65
19500104,  -0.86
19500105,  -0.58
19500106,  -0.16
19500107,  -0.43
19500109,  -0.79
19500110,  -0.12
19500111,  -0.34
19500112,   0.19
19500113,  -0.43
19500114,  -0.15
19500116,   0.17
19500117,   0.33
19500118,  -0.13
19500119,   0.28
19500120,   0.40
19500121,  -0.02
19500123,   0.28
19500124,   0.09
19500125,   0.04
19500126,   0.15
19500127,   0.08
19500128,   0.11
19500130,  -0.41
19500131,   0.19
19500201,   0.17
19500202,   0.26
19500203,  -0.22
19500204,   0.15
19500206,   0.24
19500207,   0.24
19500208,   0.21
19500209,   0.07
19500210,   0.13
19500211,   0.01
19500214,  -0.02
19500215,   0.01
19500216,   0.10
19500217,  -0.46
19500218,  -0.28
19500220,   0.20
19500221,   0.42
19500223,   0.25
19500224,  -0.04
19500225,  -0.25
19500227,  -0.20
19500228,   0.04
19500301,  -0.21
19500302,   0.12
19500303,   0.14
19500304,   0.02
19500306,  -0.07
19500307,  -0.31
19500308,  -0.32
19500309,   0.46
19500310,  -0.25
19500311,   0.16
19500313,   0.08
19500314,   0.01
19500315,   0.25
19500316,   0.13
19500317,   0.31
19500318,  -0.06
19500320,  -0.14
19500321,   0.21
19500322,   0.24
19500323,   0.21
19500324,  -0.24
19500325,   0.43
19500327,  -0.05
19500328,   0.31
19500329,  -0.13
19500330,   0.12
19500331,  -0.02
19500401,  -0.07
19500403,   0.35
19500404,   0.18
19500405,   0.08
19500406,   0.18
19500408,  -0.08
19500410,  -0.10
19500411,   0.02
19500412,   0.10
19500413,   0.11
19500414,   0.42
19500415,   0.26
19500417,   0.10
19500418,  -0.57
19500419,   0.14
19500420,  -0.25
19500421,   0.21
19500422,   0.07
19500424,   0.00
19500425,   0.00
19500426,  -0.12
19500427,   0.35
19500428,   0.44
19500429,   0.21
19500501,   0.00
19500502,  -0.30
19500503,   0.60
19500504,  -0.72
19500505,   0.04
19500506,   0.33
19500508,  -0.47
19500509,  -0.15
19500510,  -0.28
19500511,  -0.47
19500512,  -0.30
19500513,   0.17
19500515,   0.49
19500516,   0.55
19500517,   0.06
19500518,  -0.06
19500519,   0.18
19500520,  -0.08
19500522,  -0.20
19500523,   0.31
19500524,  -0.05
19500525,   0.05
19500526,   0.04
19500527,   0.08
19500529,   0.26
19500531,   0.40
19500601,   0.09
19500602,  -0.09
19500605,  -0.69
19500606,   1.08
19500607,   0.21
19500608,   0.24
19500609,   0.83
19500612,   0.30
19500613,  -0.24
19500614,  -0.71
19500615,   0.13
19500616,   0.22
19500619,  -0.39
19500620,  -0.25
19500621,   0.53
19500622,   0.38
19500623,  -0.15
19500626,  -3.20
19500627,   0.28
19500628,   0.69
19500629,  -1.97
19500630,   1.03
19500703,  -0.57
19500705,   0.39
19500706,   0.49
19500707,  -1.10
19500710,  -0.59
19500711,  -1.29
19500712,  -1.54
19500713,   0.00
19500714,   0.77
19500717,  -0.61
19500718,   1.70
19500719,   0.97
19500720,   0.35
19500721,  -0.45
19500724,  -0.86
19500725,  -0.90
19500726,   0.19
19500727,  -0.04
19500728,   0.24
19500731,   0.87
19500801,   0.44
19500802,  -0.12
19500803,   0.22
19500804,   0.11
19500807,   0.54
19500808,   0.46
19500809,   0.39
19500810,  -0.16
19500811,  -0.23
19500814,   0.18
19500815,   0.06
19500816,   0.27
19500817,   0.47
19500818,  -0.20
19500821,  -0.35
19500822,  -0.22
19500823,   0.45
19500824,  -0.26
19500825,  -0.34
19500828,   0.04
19500829,   0.18
19500830,  -0.05
19500831,  -0.10
19500901,   0.23
19500905,  -0.10
19500906,  -0.19
19500907,   0.23
19500908,   0.12
19500911,  -0.39
19500912,   0.73
19500913,   0.23
19500914,  -0.01
19500915,  -0.19
19500918,  -0.48
19500919,  -0.24
19500920,  -0.52
19500921,   0.22
19500922,   0.11
19500925,  -0.59
19500926,  -1.04
19500927,   0.49
19500928,  -0.10
19500929,  -0.01
19501002,   0.57
19501003,   0.11
19501004,   1.30
19501005,  -0.19
19501006,   0.72
19501007,   0.04
19501009,  -0.28
19501010,  -0.39
19501011,   0.57
19501013,   0.05
19501014,  -0.49
19501016,   0.17
19501017,   0.47
19501018,   0.53
19501019,  -0.28
19501020,  -0.22
19501021,   0.42
19501023,  -0.16
19501024,   0.09
19501025,  -0.31
19501026,  -1.30
19501027,   0.68
19501028,   0.40
19501030,  -0.78
19501031,  -0.28
19501101,   0.47
19501102,   0.78
19501103,   0.04
19501104,  -0.36
19501106,  -1.02
19501108,   1.14
19501109,   1.23
19501110,   0.17
19501113,   0.33
19501114,   0.28
19501115,  -0.11
19501116,  -0.15
19501117,   0.80
19501118,   0.14
19501120,  -0.46
19501121,   0.22
19501122,   0.77
19501124,   0.16
19501125,  -0.15
19501127,  -0.34
19501128,  -0.89
19501129,  -0.33
19501130,   0.69
19501201,   0.78
19501202,  -0.31
19501204,  -0.95
19501205,   1.18
19501206,   1.00
19501207,  -0.15
19501208,   0.57
19501209,  -0.02
19501211,   0.57
19501212,  -0.05
19501213,   0.07
19501214,  -0.53
19501215,   0.39
19501216,   1.35
19501218,   1.13
19501219,   0.61
19501220,  -0.04
19501221,  -1.22
19501222,  -0.19
19501226,  -0.16
19501227,   0.97
19501228,   0.00
19501229,  -0.51
19501230,   0.19
19510102,   0.15
19510103,  -0.27
19510104,   0.38
19510105,  -0.27
19510106,  -0.22
19510108,   0.01
19510109,   0.24
19510110,  -0.80
19510111,   0.63
19510112,  -0.30
19510113,   0.06
19510115,   0.76
19510116,   0.38
19510117,   0.54
19510118,  -0.26
19510119,  -0.37
19510120,  -0.31
19510122,  -0.73
19510123,  -0.05
19510124,  -0.15
19510125,  -0.68
19510126,   0.80
19510127,   0.96
19510129,   0.22
19510130,   0.23
19510131,  -0.22
19510201,   0.36
19510202,   0.23
19510203,   0.16
19510205,  -0.25
19510206,  -0.28
19510207,  -0.13
19510208,   0.52
19510209,   0.46
19510210,   0.10
19510213,  -0.18
19510214,  -0.37
19510215,  -0.08
19510216,   0.21
19510217,   0.40
19510219,  -0.94
19510220,   0.10
19510221,   0.10
19510223,  -0.25
19510224,  -0.14
19510226,  -0.85
19510227,  -0.66
19510228,  -0.02
19510301,   0.56
19510302,   0.02
19510303,  -0.17
19510305,  -0.52
19510306,  -0.33
19510307,   0.09
19510308,   0.16
19510309,   0.04
19510310,  -0.28
19510312,  -0.73
19510313,  -1.17
19510314,  -0.48
19510315,  -0.60
19510316,   1.33
19510317,   0.01
19510319,  -0.73
19510320,  -0.22
19510321,   0.23
19510322,   0.24
19510324,  -1.19
19510326,   0.25
19510327,  -0.05
19510328,  -0.85
19510329,   0.26
19510330,   0.69
19510331,  -0.10
19510402,  -0.35
19510403,   0.07
19510404,   0.59
19510405,   1.21
19510406,   0.29
19510407,  -0.19
19510409,   0.12
19510410,  -0.05
19510411,  -0.34
19510412,   0.92
19510413,   1.03
19510414,   0.52
19510416,  -0.34
19510417,   0.09
19510418,   0.46
19510419,  -0.27
19510420,  -0.31
19510421,   0.06
19510423,  -0.02
19510424,  -0.21
19510425,   0.17
19510426,   0.80
19510427,   0.78
19510428,   0.11
19510430,  -0.09
19510501,   0.06
19510502,   0.32
19510503,   0.30
19510504,   0.02
19510505,  -0.09
19510507,  -0.24
19510508,   0.27
19510509,   0.08
19510510,  -0.03
19510511,  -0.23
19510512,  -0.34
19510514,   0.04
19510515,  -1.15
19510516,  -0.32
19510517,   0.69
19510518,  -1.37
19510519,  -0.11
19510521,  -0.44
19510522,  -0.28
19510523,  -0.61
19510524,  -0.29
19510525,   0.18
19510526,  -0.03
19510528,   0.52
19510529,   0.51
19510531,   0.30
19510601,  -0.15
19510604,  -0.98
19510605,   0.28
19510606,   0.52
19510607,   0.82
19510608,  -0.10
19510611,   0.68
19510612,  -0.20
19510613,   0.30
19510614,   0.78
19510615,   0.50
19510618,   0.04
19510619,  -0.32
19510620,  -0.17
19510621,  -0.34
19510622,  -0.69
19510625,  -1.14
19510626,   0.50
19510627,   0.40
19510628,  -0.78
19510629,  -0.57
19510702,   0.03
19510703,   0.58
