,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,ae55f351f31747fc9ad0986e74f65f94,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,e25c20024baa4f148d9c58513c94d8a2,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,e2c00019bdb4471faed59ed132a48e5d,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,6f9d31d121b544b7b1a2086689c09f3c,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,72a2e4f9eb5d459f997637d55c351dcb,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,7ac68b4ac46c436fa6feca8034cd4b1f,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,912faa1077284321a67adab8b4d33a67,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,170d965f8dac45e6a80d77b451ce594c,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,37703ad979324e279d0250a3626dae49,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,ff28f6d30d0243729b76d28314a627ad,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,51a9f030dedc423486a006c2e48f20cb,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,dea8806629f342bdaa8ad3136b917660,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,aa5007329786483b852b6d4cc8c671d3,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,8f3f7133a4c34773a4a5b4448ef0c938,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,e8d0540c666e4b9a9b78eae0d2ffce98,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,edb2068abe5c407dafdf3d7ff5eeadd1,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,56ef099b0977403ebc4ef1bff50cbd24,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,dce34b93959546d2888e2e108691f2bb,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
